date,avg_ms,p25,p50,p75,p95,count
2025-08-27,1383.0,392.0,656.0,1844.0,3830.0,573
2025-08-28,1762.0,454.0,1079.0,1955.0,3783.0,310
2025-08-29,1458.0,418.0,853.0,1720.0,3468.0,239
2025-08-30,1263.0,488.0,982.0,1762.0,3164.0,76
2025-08-31,2030.0,694.0,1705.0,2726.0,4115.0,133
2025-09-01,1793.0,642.0,1496.0,2563.0,4152.0,156
2025-09-02,1384.0,509.0,975.0,1700.0,3443.0,437
2025-09-03,1239.0,473.0,729.0,1584.0,3135.0,425
2025-09-04,1509.0,498.0,950.0,1716.0,4115.0,447
2025-09-05,1829.0,560.0,1168.0,1928.0,4094.0,411
2025-09-06,1172.0,420.0,906.0,1607.0,3058.0,134
2025-09-07,1920.0,542.0,1697.0,2842.0,3958.0,190
2025-09-08,1994.0,892.0,1544.0,2472.0,4059.0,302
2025-09-09,1924.0,437.0,1239.0,2702.0,4411.0,318
2025-09-10,2134.0,643.0,1150.0,2453.0,4902.0,413
2025-09-11,1930.0,705.0,1490.0,2000.0,4434.0,229
2025-09-12,1451.0,596.0,1104.0,1834.0,3712.0,301
2025-09-13,1559.0,477.0,890.0,1567.0,2925.0,137
2025-09-14,1385.0,592.0,1071.0,1724.0,3459.0,115
2025-09-15,1521.0,598.0,1127.0,1930.0,3588.0,223
2025-09-16,1777.0,619.0,1267.0,2319.0,4247.0,328
2025-09-17,1931.0,622.0,1152.0,2417.0,4922.0,500
2025-09-18,1492.0,509.0,876.0,1841.0,3363.0,294
2025-09-19,1635.0,610.0,1139.0,2018.0,3645.0,315
2025-09-20,1253.0,426.0,808.0,1660.0,4105.0,136
2025-09-21,2303.0,699.0,1706.0,2727.0,5012.0,164
2025-09-22,1384.0,431.0,724.0,1825.0,4040.0,585
2025-09-23,985.0,396.0,618.0,1105.0,2857.0,491
2025-09-24,1303.0,492.0,1010.0,1765.0,3284.0,296
2025-09-25,1393.0,517.0,876.0,1710.0,3781.0,426
2025-09-26,1335.0,505.0,899.0,1898.0,3730.0,215
2025-09-27,1400.0,510.0,1124.0,2080.0,3102.0,160
2025-09-28,2263.0,821.0,1708.0,2749.0,4987.0,282
2025-09-29,1507.0,586.0,1109.0,1846.0,3814.0,347
2025-09-30,1922.0,872.0,1572.0,2416.0,4057.0,344
2025-10-01,1872.0,605.0,1295.0,2160.0,4232.0,234
2025-10-02,1338.0,569.0,1221.0,1809.0,2862.0,223
2025-10-03,1830.0,556.0,1194.0,1961.0,5372.0,231
2025-10-04,1425.0,627.0,991.0,1951.0,3736.0,117
2025-10-05,1632.0,536.0,1349.0,2428.0,3584.0,171
2025-10-06,1916.0,828.0,1680.0,2122.0,4068.0,307
2025-10-07,1749.0,673.0,1239.0,2072.0,4160.0,231
