ns_month,project,neighbourhood,apt_status,visit_type,count
2025-10,Woodside Central,Floating NY 1,RECURRING_SUBSCRIPTION,One-time,6
2025-10,Woodside Central,Floating NY 1,WARM_LEAD,One-time,2
2025-11,100 House,Hoboken Polygon,LEAD,One-time,3
2025-11,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,One-time,12
2025-11,1 Boerum PL,Floating NY 2,ON_DEMAND_SUBSCRIPTION,One-time,1
2025-11,2000 Biscayne,Edgeater Polygon,ON_DEMAND_SUBSCRIPTION,One-time,4
2025-11,2000 Biscayne,Edgeater Polygon,TRIAL,One-time,5
2025-11,220 East 72nd Street,Floating NY 2,WARM_LEAD,One-time,5
2025-11,250 E Houston,Floating NY 2,LEAD,One-time,2
2025-11,330 Angelo Cifelli,Harrison Polygon,ON_DEMAND_SUBSCRIPTION,One-time,6
2025-11,330W-56th,Hell's Kitchen Polygon,FREEMIUM,One-time,7
2025-11,420 Kent Avenue,Williamsburg Polygon,ON_DEMAND_SUBSCRIPTION,One-time,4
2025-11,655 Union,Boerum Hill Polygon,CHURN,One-time,2
2025-11,66 Rockwell Place,Brooklyn Heights Polygon,TRIAL,One-time,4
2025-11,829 Garfield,Floating Jersey,TRIAL,One-time,2
2025-11,Agnes,Floating Jersey,LEAD,One-time,15
2025-11,Agnes,Floating Jersey,ON_DEMAND_SUBSCRIPTION,One-time,3
2025-11,Agnes,Floating Jersey,TRIAL,One-time,2
2025-11,Alta,Floating NY 1,LEAD,One-time,1
2025-11,Alta,Floating NY 1,ON_DEMAND_SUBSCRIPTION,One-time,23
2025-11,Alta,Floating NY 1,RECURRING_SUBSCRIPTION,One-time,8
2025-11,Alta,Floating NY 1,TRIAL,One-time,3
2025-11,Arabella 101,Floating NY 2,LEAD,One-time,1
2025-11,Azrieli TLV,Unknown,CHURN,One-time,2
2025-11,Flamingo Point North Tower,Miami Beach Polygon,LEAD,One-time,5
2025-11,Gindi 1,Unknown,CHURN,One-time,2
2025-11,Gindi 2,Unknown,CHURN,One-time,2
2025-11,Gindi 2,Unknown,TRIAL,One-time,2
2025-11,Gindi 2,Unknown,WARM_LEAD,One-time,1
2025-11,Gindi 4,Unknown,CHURN,One-time,8
2025-11,Gindi 4,Unknown,COLD_LEAD,One-time,4
2025-11,HaHehad,Unknown,CHURN,One-time,3
2025-11,HaHehad,Unknown,COLD_LEAD,One-time,2
2025-11,HaHehad,Unknown,WARM_LEAD,One-time,1
2025-11,John Street 116,Financial District Polygon,CHURN,One-time,2
2025-11,Midtown 5,Floating Miami,RECURRING_SUBSCRIPTION,One-time,2
2025-11,Midtown 5,Floating Miami,TRIAL,One-time,2
2025-11,Nine 52,Hell's Kitchen Polygon,LEAD,One-time,9
2025-11,Oliver on the Hudson,Floating Jersey,CHURN,One-time,3
2025-11,Oliver on the Hudson,Floating Jersey,LEAD,One-time,1
2025-11,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,One-time,3
2025-11,Plank Road,Boerum Hill Polygon,TRIAL,One-time,2
2025-11,River Place,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,One-time,16
2025-11,River Place,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,One-time,11
2025-11,River Place,Hell's Kitchen Polygon,TRIAL,One-time,1
2025-11,Silver Towers,Hell's Kitchen Polygon,CHURN,One-time,2
2025-11,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,One-time,2
2025-11,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,One-time,6
2025-11,Stonehill,Chatham / West Orange Polygon,ON_DEMAND_SUBSCRIPTION,One-time,1
2025-11,Stonehill,Chatham / West Orange Polygon,RECURRING_SUBSCRIPTION,One-time,2
2025-11,The Addison,Brooklyn Heights Polygon,TRIAL,One-time,1
2025-11,The Bergen,Boerum Hill Polygon,TRIAL,One-time,1
2025-11,The Boulevard,Floating Miami,ON_DEMAND_SUBSCRIPTION,One-time,4
2025-11,The Buchanan,Floating NY 1,ON_DEMAND_SUBSCRIPTION,One-time,5
2025-11,The Devan,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,One-time,2
2025-11,The Devan,Hoboken Polygon,RECURRING_SUBSCRIPTION,One-time,5
2025-11,The Devan,Hoboken Polygon,TRIAL,One-time,1
2025-11,The Dime,Williamsburg Polygon,FREEMIUM,One-time,5
2025-11,The Eddy,Harrison Polygon,ON_DEMAND_SUBSCRIPTION,One-time,3
2025-11,The Eddy,Harrison Polygon,TRIAL,One-time,1
2025-11,The Eddy,Harrison Polygon,WARM_LEAD,One-time,1
2025-11,The Enclave,Hoboken Polygon,CHURN,One-time,2
2025-11,The Kestrel,Floating NY 2,ON_DEMAND_SUBSCRIPTION,One-time,3
2025-11,The Landing,Brooklyn Heights Polygon,LEAD,One-time,5
2025-11,The Landon,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,One-time,2
2025-11,The Vitagraph,Floating NY 2,LEAD,One-time,2
2025-12,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,One-time,10
2025-12,2000 Biscayne,Edgeater Polygon,LEAD,One-time,3
2025-12,2000 Biscayne,Edgeater Polygon,ON_DEMAND_SUBSCRIPTION,One-time,4
2025-12,20 Broad Street,Financial District Polygon,ON_DEMAND_SUBSCRIPTION,One-time,5
2025-12,20 Broad Street,Financial District Polygon,RECURRING_SUBSCRIPTION,One-time,1
2025-12,250 E Houston,Floating NY 2,RECURRING_SUBSCRIPTION,One-time,2
2025-12,300 Somerset,Harrison Polygon,ON_DEMAND_SUBSCRIPTION,One-time,7
2025-12,300 Somerset,Harrison Polygon,TRIAL,One-time,2
2025-12,330 Angelo Cifelli,Harrison Polygon,CHURN,One-time,1
2025-12,330 Angelo Cifelli,Harrison Polygon,RECURRING_SUBSCRIPTION,One-time,6
2025-12,330 Angelo Cifelli,Harrison Polygon,WARM_LEAD,One-time,1
2025-12,345 Baldwin Avenue,Floating Jersey,LEAD,One-time,1
2025-12,345 Baldwin Avenue,Floating Jersey,ON_DEMAND_SUBSCRIPTION,One-time,14
2025-12,345 Baldwin Avenue,Floating Jersey,RECURRING_SUBSCRIPTION,One-time,3
2025-12,535 W 43rd Street,Hell's Kitchen Polygon,LEAD,One-time,1
2025-12,535 W 43rd Street,Hell's Kitchen Polygon,TRIAL,One-time,1
2025-12,66 Rockwell Place,Brooklyn Heights Polygon,RECURRING_SUBSCRIPTION,One-time,1
2025-12,Agnes,Floating Jersey,LEAD,One-time,1
2025-12,Alta,Floating NY 1,ON_DEMAND_SUBSCRIPTION,One-time,6
2025-12,Alta,Floating NY 1,RECURRING_SUBSCRIPTION,One-time,2
2025-12,Arabella 101,Floating NY 2,LEAD,One-time,1
2025-12,Azrieli TLV,Unknown,TRIAL,One-time,1
2025-12,Gindi 1,Unknown,CHURN,One-time,1
2025-12,Gindi 2,Unknown,CHURN,One-time,2
2025-12,Gindi 2,Unknown,TRIAL,One-time,4
2025-12,Gindi 3,Unknown,CHURN,One-time,1
2025-12,Gindi 4,Unknown,CHURN,One-time,1
2025-12,Grove Central Residences,Floating Miami,RECURRING_SUBSCRIPTION,One-time,2
2025-12,HaHehad,Unknown,CHURN,One-time,2
2025-12,HaHehad,Unknown,COLD_LEAD,One-time,2
2025-12,HaHehad,Unknown,TRIAL,One-time,3
2025-12,John Street 116,Financial District Polygon,RECURRING_SUBSCRIPTION,One-time,2
2025-12,Livana East Hanover,Chatham / West Orange Polygon,WARM_LEAD,One-time,11
2025-12,Midtown 5,Floating Miami,ON_DEMAND_SUBSCRIPTION,One-time,4
2025-12,Midtown 5,Floating Miami,WARM_LEAD,One-time,1
2025-12,Oliver on the Hudson,Floating Jersey,RECURRING_SUBSCRIPTION,One-time,5
2025-12,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,One-time,1
2025-12,River Place,Hell's Kitchen Polygon,FREEMIUM,One-time,1
2025-12,River Place,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,One-time,13
2025-12,River Place,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,One-time,5
2025-12,River Place,Hell's Kitchen Polygon,TRIAL,One-time,9
2025-12,Silver Towers,Hell's Kitchen Polygon,CHURN,One-time,4
2025-12,Silver Towers,Hell's Kitchen Polygon,FREEMIUM,One-time,2
2025-12,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,One-time,15
2025-12,Silver Towers,Hell's Kitchen Polygon,WARM_LEAD,One-time,7
2025-12,Stonehill,Chatham / West Orange Polygon,CHURN,One-time,5
2025-12,Stonehill,Chatham / West Orange Polygon,ON_DEMAND_SUBSCRIPTION,One-time,2
2025-12,Stonehill,Chatham / West Orange Polygon,RECURRING_SUBSCRIPTION,One-time,3
2025-12,The Bergen,Boerum Hill Polygon,TRIAL,One-time,1
2025-12,The Boulevard,Floating Miami,ON_DEMAND_SUBSCRIPTION,One-time,5
2025-12,The Buchanan,Floating NY 1,ON_DEMAND_SUBSCRIPTION,One-time,2
2025-12,The Dime,Williamsburg Polygon,FREEMIUM,One-time,2
2025-12,The Dime,Williamsburg Polygon,RECURRING_SUBSCRIPTION,One-time,2
2025-12,The Dime,Williamsburg Polygon,WARM_LEAD,One-time,6
2025-12,The Eddy,Harrison Polygon,FREEMIUM,One-time,1
2025-12,The Eddy,Harrison Polygon,LEAD,One-time,1
2025-12,The Eddy,Harrison Polygon,ON_DEMAND_SUBSCRIPTION,One-time,1
2025-12,The Eddy,Harrison Polygon,RECURRING_SUBSCRIPTION,One-time,2
2025-12,The Eddy,Harrison Polygon,WARM_LEAD,One-time,5
2025-12,The Kestrel,Floating NY 2,ON_DEMAND_SUBSCRIPTION,One-time,8
2025-12,The Kestrel,Floating NY 2,RECURRING_SUBSCRIPTION,One-time,1
2025-12,The Landing,Brooklyn Heights Polygon,LEAD,One-time,4
2025-12,Union Channel ,Boerum Hill Polygon,TRIAL,One-time,4
2025-12,Woodside Central,Floating NY 1,FROZEN,One-time,10
2025-12,Woodside Central,Floating NY 1,TRIAL,One-time,4
2025-12,Woodside Central,Floating NY 1,WARM_LEAD,One-time,2
2026-01,20 Broad Street,Financial District Polygon,RECURRING_SUBSCRIPTION,One-time,1
2026-01,300 Somerset,Harrison Polygon,ON_DEMAND_SUBSCRIPTION,One-time,5
2026-01,330 Angelo Cifelli,Harrison Polygon,ON_DEMAND_SUBSCRIPTION,One-time,1
2026-01,330 Angelo Cifelli,Harrison Polygon,RECURRING_SUBSCRIPTION,One-time,6
2026-01,345 Baldwin Avenue,Floating Jersey,LEAD,One-time,1
2026-01,345 Baldwin Avenue,Floating Jersey,ON_DEMAND_SUBSCRIPTION,One-time,3
2026-01,Alta,Floating NY 1,ON_DEMAND_SUBSCRIPTION,One-time,1
2026-01,Alta,Floating NY 1,RECURRING_SUBSCRIPTION,One-time,6
2026-01,Bay Parc Apartments,Edgeater Polygon,WARM_LEAD,One-time,1
2026-01,Dey and Bergen,Harrison Polygon,ON_DEMAND_SUBSCRIPTION,One-time,7
2026-01,Dey and Bergen,Harrison Polygon,WARM_LEAD,One-time,2
2026-01,Gindi 4,Unknown,LEAD,One-time,5
2026-01,HaHehad,Unknown,TRIAL,One-time,1
2026-01,Livana East Hanover,Chatham / West Orange Polygon,RECURRING_SUBSCRIPTION,One-time,1
2026-01,Midtown 5,Floating Miami,CHURN,One-time,2
2026-01,Midtown 5,Floating Miami,ON_DEMAND_SUBSCRIPTION,One-time,2
2026-01,Oliver on the Hudson,Floating Jersey,RECURRING_SUBSCRIPTION,One-time,1
2026-01,One Harrison,Harrison Polygon,CHURN,One-time,2
2026-01,One Harrison,Harrison Polygon,RECURRING_SUBSCRIPTION,One-time,3
2026-01,One Ten,Hoboken Polygon,LEAD,One-time,3
2026-01,River Place,Hell's Kitchen Polygon,FREEMIUM,One-time,2
2026-01,River Place,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,One-time,11
2026-01,River Place,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,One-time,4
2026-01,River Place,Hell's Kitchen Polygon,TRIAL,One-time,2
2026-01,Rothschild 80,Unknown,CHURN,One-time,1
2026-01,Silver Towers,Hell's Kitchen Polygon,LEAD,One-time,1
2026-01,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,One-time,1
2026-01,Southgate Towers,Miami Beach Polygon,CHURN,One-time,2
2026-01,Southgate Towers,Miami Beach Polygon,LEAD,One-time,15
2026-01,Southgate Towers,Miami Beach Polygon,TRIAL,One-time,1
2026-01,Southgate Towers,Miami Beach Polygon,WARM_LEAD,One-time,1
2026-01,The Bergen,Boerum Hill Polygon,RECURRING_SUBSCRIPTION,One-time,1
2026-01,The Boulevard,Floating Miami,ON_DEMAND_SUBSCRIPTION,One-time,2
2026-01,The Buchanan,Floating NY 1,ON_DEMAND_SUBSCRIPTION,One-time,2
2026-01,The Buchanan,Floating NY 1,RECURRING_SUBSCRIPTION,One-time,2
2026-01,The Buchanan,Floating NY 1,WARM_LEAD,One-time,3
2026-01,The Dime,Williamsburg Polygon,CHURN,One-time,1
2026-01,The Dime,Williamsburg Polygon,RECURRING_SUBSCRIPTION,One-time,1
2026-01,The Kestrel,Floating NY 2,LEAD,One-time,1
2026-01,The Kestrel,Floating NY 2,ON_DEMAND_SUBSCRIPTION,One-time,3
2026-01,Waters Edge,Harrison Polygon,LEAD,One-time,8
2026-01,Waters Edge,Harrison Polygon,ON_DEMAND_SUBSCRIPTION,One-time,2
2026-01,Waters Edge,Harrison Polygon,WARM_LEAD,One-time,5
2026-01,Woodside Central,Floating NY 1,FREEMIUM,One-time,4
2026-01,Woodside Central,Floating NY 1,FROZEN,One-time,1
2026-01,Woodside Central,Floating NY 1,TRIAL,One-time,20
2026-02,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,One-time,23
2026-02,2000 Biscayne,Edgeater Polygon,LEAD,One-time,1
2026-02,2000 Biscayne,Edgeater Polygon,ON_DEMAND_SUBSCRIPTION,One-time,6
2026-02,20 Broad Street,Financial District Polygon,RECURRING_SUBSCRIPTION,One-time,12
2026-02,250 E Houston,Floating NY 2,RECURRING_SUBSCRIPTION,One-time,7
2026-02,300 Somerset,Harrison Polygon,ON_DEMAND_SUBSCRIPTION,One-time,1
2026-02,300 Somerset,Harrison Polygon,TRIAL,One-time,1
2026-02,300 Somerset,Harrison Polygon,WARM_LEAD,One-time,3
2026-02,330 Angelo Cifelli,Harrison Polygon,RECURRING_SUBSCRIPTION,One-time,10
2026-02,330 Angelo Cifelli,Harrison Polygon,TRIAL,One-time,3
2026-02,330W-56th,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,One-time,8
2026-02,66 Rockwell Place,Brooklyn Heights Polygon,RECURRING_SUBSCRIPTION,One-time,7
2026-02,Alta,Floating NY 1,ON_DEMAND_SUBSCRIPTION,One-time,1
2026-02,Bay Parc Apartments,Edgeater Polygon,ON_DEMAND_SUBSCRIPTION,One-time,36
2026-02,Biscayne SFR,Unknown,CHURN,One-time,1
2026-02,Brooklyn Crossing,Boerum Hill Polygon,CHURN,One-time,3
2026-02,Cape Florida Club Condo Phase,The Ocean Club Polygon,WARM_LEAD,One-time,1
2026-02,Dey and Bergen,Harrison Polygon,ON_DEMAND_SUBSCRIPTION,One-time,2
2026-02,Dey and Bergen,Harrison Polygon,WARM_LEAD,One-time,5
2026-02,Flamingo Point North Tower,Miami Beach Polygon,RECURRING_SUBSCRIPTION,One-time,8
2026-02,Flamingo South Beach,Miami Beach Polygon,WARM_LEAD,One-time,4
2026-02,Gindi 1,Unknown,CHURN,One-time,1
2026-02,Gindi 4,Unknown,TRIAL,One-time,6
2026-02,Grove Central Residences,Floating Miami,RECURRING_SUBSCRIPTION,One-time,1
2026-02,Grove Central Residences,Floating Miami,WARM_LEAD,One-time,1
2026-02,HaHehad,Unknown,CHURN,One-time,2
2026-02,Oliver on the Hudson,Floating Jersey,RECURRING_SUBSCRIPTION,One-time,1
2026-02,One Harrison,Harrison Polygon,CHURN,One-time,1
2026-02,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,One-time,2
2026-02,River Place,Hell's Kitchen Polygon,CHURN,One-time,1
2026-02,River Place,Hell's Kitchen Polygon,FREEMIUM,One-time,2
2026-02,River Place,Hell's Kitchen Polygon,LEAD,One-time,1
2026-02,River Place,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,One-time,39
2026-02,River Place,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,One-time,17
2026-02,River Place,Hell's Kitchen Polygon,TRIAL,One-time,3
2026-02,Silver Towers,Hell's Kitchen Polygon,LEAD,One-time,1
2026-02,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,One-time,14
2026-02,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,One-time,1
2026-02,Silver Towers,Hell's Kitchen Polygon,TRIAL,One-time,2
2026-02,Southgate Towers,Miami Beach Polygon,CHURN,One-time,1
2026-02,Southgate Towers,Miami Beach Polygon,TRIAL,One-time,1
2026-02,Stonehill,Chatham / West Orange Polygon,ON_DEMAND_SUBSCRIPTION,One-time,3
2026-02,The Addison,Brooklyn Heights Polygon,RECURRING_SUBSCRIPTION,One-time,1
2026-02,The Boulevard,Floating Miami,ON_DEMAND_SUBSCRIPTION,One-time,4
2026-02,The Buchanan,Floating NY 1,RECURRING_SUBSCRIPTION,One-time,2
2026-02,The Dime,Williamsburg Polygon,ON_DEMAND_SUBSCRIPTION,One-time,14
2026-02,The Eddy,Harrison Polygon,CHURN,One-time,2
2026-02,The Eddy,Harrison Polygon,WARM_LEAD,One-time,3
2026-02,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,One-time,6
2026-02,The Ivy,Chatham / West Orange Polygon,FREEMIUM,One-time,1
2026-02,The Kestrel,Floating NY 2,CHURN,One-time,7
2026-02,The Kestrel,Floating NY 2,ON_DEMAND_SUBSCRIPTION,One-time,2
2026-02,Union Channel ,Boerum Hill Polygon,LEAD,One-time,2
2026-02,Union Channel ,Boerum Hill Polygon,TRIAL,One-time,1
2026-02,Woodside Central,Floating NY 1,ON_DEMAND_SUBSCRIPTION,One-time,1
2026-03,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,One-time,11
2026-03,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,Subscription,1
2026-03,1 Boerum PL,Floating NY 2,CHURN,Subscription,3
2026-03,2000 Biscayne,Edgeater Polygon,RECURRING_SUBSCRIPTION,Subscription,2
2026-03,2000 Biscayne,Edgeater Polygon,TRIAL,One-time,3
2026-03,2000 Biscayne,Edgeater Polygon,WARM_LEAD,One-time,1
2026-03,20 Broad Street,Financial District Polygon,LEAD,Subscription,1
2026-03,20 Broad Street,Financial District Polygon,WARM_LEAD,One-time,3
2026-03,20 Broad Street,Financial District Polygon,WARM_LEAD,Subscription,1
2026-03,250 E Houston,Floating NY 2,RECURRING_SUBSCRIPTION,One-time,3
2026-03,250 E Houston,Floating NY 2,TRIAL,Subscription,1
2026-03,300 Somerset,Harrison Polygon,ON_DEMAND_SUBSCRIPTION,One-time,5
2026-03,300 Somerset,Harrison Polygon,ON_DEMAND_SUBSCRIPTION,Subscription,1
2026-03,300 Somerset,Harrison Polygon,TRIAL,One-time,1
2026-03,330 Angelo Cifelli,Harrison Polygon,RECURRING_SUBSCRIPTION,One-time,2
2026-03,330 Angelo Cifelli,Harrison Polygon,RECURRING_SUBSCRIPTION,Subscription,4
2026-03,330W-56th,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,One-time,1
2026-03,330W-56th,Hell's Kitchen Polygon,WARM_LEAD,Subscription,1
2026-03,416 Kent Avenue,Williamsburg Polygon,RECURRING_SUBSCRIPTION,Subscription,1
2026-03,535 W 43rd Street,Hell's Kitchen Polygon,LEAD,One-time,1
2026-03,535 W 43rd Street,Hell's Kitchen Polygon,LEAD,Subscription,3
2026-03,655 Union,Boerum Hill Polygon,CHURN,One-time,3
2026-03,655 Union,Boerum Hill Polygon,CHURN,Subscription,1
2026-03,655 Union,Boerum Hill Polygon,LEAD,Subscription,1
2026-03,66 Rockwell Place,Brooklyn Heights Polygon,RECURRING_SUBSCRIPTION,One-time,5
2026-03,66 Rockwell Place,Brooklyn Heights Polygon,RECURRING_SUBSCRIPTION,Subscription,3
2026-03,66 Rockwell Place,Brooklyn Heights Polygon,TRIAL,Subscription,1
2026-03,Agnes,Floating Jersey,RECURRING_SUBSCRIPTION,Subscription,5
2026-03,Alta,Floating NY 1,LEAD,Subscription,1
2026-03,Alta,Floating NY 1,RECURRING_SUBSCRIPTION,One-time,2
2026-03,Alta,Floating NY 1,RECURRING_SUBSCRIPTION,Subscription,1
2026-03,Azrieli TLV,Unknown,CHURN,One-time,2
2026-03,Azrieli TLV,Unknown,COLD_LEAD,Subscription,1
2026-03,Azrieli TLV,Unknown,WARM_LEAD,One-time,2
2026-03,Bay Parc Apartments,Edgeater Polygon,LEAD,Subscription,1
2026-03,Bay Parc Apartments,Edgeater Polygon,ON_DEMAND_SUBSCRIPTION,One-time,15
2026-03,Bay Parc Apartments,Edgeater Polygon,WARM_LEAD,Subscription,1
2026-03,Biscayne SFR,Unknown,CHURN,One-time,3
2026-03,Biscayne SFR,Unknown,CHURN,Subscription,1
2026-03,Brooklyn Crossing,Boerum Hill Polygon,CHURN,One-time,3
