visit_month,project,neighbourhood,apt_status,avg_tasks_per_visit,avg_visit_price,chore_count,total_amount
2024-02,River Place,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,2.2,12.36,11,432.9
2024-02,River Place,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,6.97,24.44,258,5497.44
2024-02,River Place,Hell's Kitchen Polygon,TRIAL,4.83,67.47,29,922.48
2024-02,Silver Towers,Hell's Kitchen Polygon,CHURN,5.05,66.06,202,6523.14
2024-02,Silver Towers,Hell's Kitchen Polygon,FREEMIUM,5.57,9.95,78,2374.06
2024-02,Silver Towers,Hell's Kitchen Polygon,FROZEN,8.0,0.0,8,227.11
2024-02,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,4.87,56.7,73,2466.36
2024-02,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,6.83,77.24,314,7954.83
2024-02,Silver Towers,Hell's Kitchen Polygon,TRIAL,5.0,22.57,75,2435.81
2024-02,The Enclave,Hoboken Polygon,CHURN,5.5,59.92,66,2227.94
2024-02,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,4.0,50.0,8,271.7
2024-03,100 House,Hoboken Polygon,CHURN,7.7,77.04,77,2193.88
2024-03,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,2.0,15.38,8,154.7
2024-03,829 Garfield,Floating Jersey,CHURN,4.62,49.98,60,2016.43
2024-03,Azrieli TLV,Unknown,CHURN,5.01,64.43,376,11568.7
2024-03,Azrieli TLV,Unknown,COLD_LEAD,8.0,0.0,16,381.42
2024-03,Azrieli TLV,Unknown,TRIAL,7.2,58.01,36,1082.25
2024-03,Gindi 1,Unknown,CHURN,4.13,67.84,632,19898.58
2024-03,Gindi 1,Unknown,TRIAL,3.67,67.82,11,284.7
2024-03,Gindi 2,Unknown,CHURN,4.58,65.98,243,6885.97
2024-03,Gindi 2,Unknown,COLD_LEAD,8.5,0.0,17,510.12
2024-03,Gindi 2,Unknown,TRIAL,0.5,48.63,1,13.0
2024-03,Gindi 3,Unknown,CHURN,4.66,81.01,876,24084.97
2024-03,Gindi 3,Unknown,TRIAL,4.57,27.74,32,982.93
2024-03,Gindi 4,Unknown,CHURN,5.37,32.75,102,2961.79
2024-03,John Street 116,Financial District Polygon,CHURN,8.0,72.0,24,713.83
2024-03,John Street 116,Financial District Polygon,RECURRING_SUBSCRIPTION,6.13,39.14,49,1271.4
2024-03,John Street 116,Financial District Polygon,TRIAL,5.38,77.57,43,1215.24
2024-03,One Ten,Hoboken Polygon,CHURN,3.13,36.04,25,926.25
2024-03,One Ten,Hoboken Polygon,FREEMIUM,7.75,34.97,31,934.18
2024-03,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,6.5,33.92,13,426.01
2024-03,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,5.75,119.14,23,810.16
2024-03,River Place,Hell's Kitchen Polygon,CHURN,6.27,37.8,188,5144.88
2024-03,River Place,Hell's Kitchen Polygon,FREEMIUM,2.72,17.16,68,1248.78
2024-03,River Place,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,3.71,34.63,52,1779.18
2024-03,River Place,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,6.83,70.8,123,2999.75
2024-03,River Place,Hell's Kitchen Polygon,TRIAL,6.5,28.31,26,798.33
2024-03,Silver Towers,Hell's Kitchen Polygon,CHURN,5.0,53.97,205,6437.08
2024-03,Silver Towers,Hell's Kitchen Polygon,FREEMIUM,4.0,23.0,24,882.57
2024-03,Silver Towers,Hell's Kitchen Polygon,FROZEN,4.67,62.86,14,454.61
2024-03,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,4.48,52.91,103,3233.23
2024-03,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,6.98,78.91,293,7423.0
2024-03,Silver Towers,Hell's Kitchen Polygon,TRIAL,4.25,13.5,51,1676.09
2024-03,The Enclave,Hoboken Polygon,CHURN,5.71,69.11,80,2587.26
2024-03,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,4.0,50.0,8,271.7
2024-04,100 House,Hoboken Polygon,CHURN,7.45,72.15,82,2420.99
2024-04,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,2.88,36.0,23,524.81
2024-04,1 Boerum PL,Floating NY 2,CHURN,5.5,0.0,11,434.2
2024-04,330W-56th,Hell's Kitchen Polygon,CHURN,8.0,92.0,16,454.22
2024-04,330W-56th,Hell's Kitchen Polygon,FREEMIUM,4.0,36.25,20,731.51
2024-04,330W-56th,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,5.0,73.6,10,344.11
2024-04,330W-56th,Hell's Kitchen Polygon,WARM_LEAD,3.0,0.0,3,130.0
2024-04,829 Garfield,Floating Jersey,CHURN,3.9,43.2,39,1279.98
2024-04,829 Garfield,Floating Jersey,TRIAL,9.0,237.0,9,209.56
2024-04,Azrieli TLV,Unknown,CHURN,5.08,67.56,361,10839.01
2024-04,Azrieli TLV,Unknown,TRIAL,6.4,3.34,32,927.94
2024-04,Gindi 1,Unknown,CHURN,4.69,62.18,732,23666.11
2024-04,Gindi 1,Unknown,COLD_LEAD,4.0,0.0,8,386.1
2024-04,Gindi 1,Unknown,TRIAL,4.0,34.79,8,271.7
2024-04,Gindi 2,Unknown,CHURN,5.69,49.64,438,11570.78
2024-04,Gindi 2,Unknown,COLD_LEAD,7.0,0.0,7,202.41
2024-04,Gindi 2,Unknown,TRIAL,4.0,40.41,8,271.7
2024-04,Gindi 3,Unknown,CHURN,4.72,53.88,1053,28061.02
2024-04,Gindi 3,Unknown,TRIAL,5.4,13.27,27,901.29
2024-04,Gindi 4,Unknown,CHURN,5.57,43.18,78,2292.42
2024-04,John Street 116,Financial District Polygon,CHURN,7.93,58.65,119,3352.44
2024-04,John Street 116,Financial District Polygon,RECURRING_SUBSCRIPTION,5.1,21.22,51,1298.7
2024-04,John Street 116,Financial District Polygon,TRIAL,5.8,46.83,29,909.48
2024-04,One Ten,Hoboken Polygon,CHURN,3.43,50.25,24,898.3
2024-04,One Ten,Hoboken Polygon,FREEMIUM,7.67,24.0,23,707.07
2024-04,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,6.0,35.06,30,901.42
2024-04,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,5.6,95.32,28,1004.51
2024-04,River Place,Hell's Kitchen Polygon,CHURN,7.34,38.43,389,10681.97
2024-04,River Place,Hell's Kitchen Polygon,FREEMIUM,2.5,8.29,20,431.86
2024-04,River Place,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,6.42,27.12,212,4838.6
2024-04,River Place,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,7.12,73.95,121,3052.14
2024-04,River Place,Hell's Kitchen Polygon,TRIAL,4.43,55.7,62,1929.07
2024-04,Silver Towers,Hell's Kitchen Polygon,CHURN,4.84,43.56,213,6257.55
2024-04,Silver Towers,Hell's Kitchen Polygon,FREEMIUM,5.0,55.2,10,344.11
2024-04,Silver Towers,Hell's Kitchen Polygon,FROZEN,0.5,19.5,1,58.5
2024-04,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,3.96,51.23,95,3019.38
2024-04,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,6.76,93.67,304,8502.0
2024-04,Silver Towers,Hell's Kitchen Polygon,TRIAL,2.46,43.63,32,1012.83
2024-04,The Enclave,Hoboken Polygon,CHURN,6.08,76.76,79,2559.31
2024-04,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,3.33,44.6,10,343.2
2024-05,100 House,Hoboken Polygon,CHURN,6.73,55.62,101,3052.01
2024-05,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,2.43,29.12,17,399.75
2024-05,1 Boerum PL,Floating NY 2,CHURN,5.72,95.23,103,3866.2
2024-05,1 Boerum PL,Floating NY 2,FREEMIUM,8.0,0.0,8,227.11
2024-05,1 Boerum PL,Floating NY 2,ON_DEMAND_SUBSCRIPTION,5.0,55.2,10,297.31
2024-05,1 Boerum PL,Floating NY 2,RECURRING_SUBSCRIPTION,1.75,6.57,14,631.15
2024-05,1 Boerum PL,Floating NY 2,TRIAL,0.0,0.0,0,
2024-05,330W-56th,Hell's Kitchen Polygon,CHURN,8.0,69.0,48,1362.66
2024-05,330W-56th,Hell's Kitchen Polygon,FREEMIUM,3.0,3.67,6,252.85
2024-05,330W-56th,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,7.75,64.43,31,879.19
2024-05,829 Garfield,Floating Jersey,CHURN,4.0,32.35,20,688.61
2024-05,829 Garfield,Floating Jersey,TRIAL,9.0,133.33,27,804.18
2024-05,Azrieli TLV,Unknown,CHURN,5.7,61.96,405,12312.17
2024-05,Gindi 1,Unknown,CHURN,4.6,56.03,740,23408.71
2024-05,Gindi 1,Unknown,TRIAL,4.0,34.79,8,271.7
2024-05,Gindi 2,Unknown,CHURN,6.27,57.52,370,10720.84
2024-05,Gindi 2,Unknown,COLD_LEAD,7.0,0.0,7,202.41
2024-05,Gindi 2,Unknown,TRIAL,2.0,0.0,2,
2024-05,Gindi 3,Unknown,CHURN,5.39,71.09,906,24760.19
2024-05,Gindi 3,Unknown,COLD_LEAD,6.0,105.42,6,220.35
2024-05,Gindi 3,Unknown,TRIAL,3.5,119.49,14,587.6
2024-05,Gindi 4,Unknown,CHURN,4.6,43.52,69,2043.6
2024-05,John Street 116,Financial District Polygon,CHURN,7.05,75.99,134,3844.36
2024-05,John Street 116,Financial District Polygon,FREEMIUM,8.0,104.0,8,227.11
2024-05,John Street 116,Financial District Polygon,RECURRING_SUBSCRIPTION,5.0,56.53,30,837.33
2024-05,John Street 116,Financial District Polygon,TRIAL,5.86,34.63,41,1273.74
2024-05,John Street 116,Financial District Polygon,WARM_LEAD,2.0,0.0,2,117.0
2024-05,One Ten,Hoboken Polygon,CHURN,3.4,49.94,17,632.45
2024-05,One Ten,Hoboken Polygon,FREEMIUM,7.5,68.6,15,450.71
2024-05,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,6.33,29.05,19,633.36
2024-05,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,5.75,116.04,23,810.16
2024-05,River Place,Hell's Kitchen Polygon,CHURN,5.87,68.83,264,6936.8
2024-05,River Place,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,6.57,49.9,184,3606.72
2024-05,River Place,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,7.05,70.61,155,3954.08
2024-05,River Place,Hell's Kitchen Polygon,TRIAL,4.4,43.23,44,1322.75
2024-05,River Place,Hell's Kitchen Polygon,WARM_LEAD,8.0,92.0,8,227.11
2024-05,Silver Towers,Hell's Kitchen Polygon,CHURN,5.11,57.78,286,8200.01
2024-05,Silver Towers,Hell's Kitchen Polygon,FREEMIUM,6.33,91.37,19,537.42
2024-05,Silver Towers,Hell's Kitchen Polygon,FROZEN,8.0,46.0,16,454.22
2024-05,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,4.08,52.86,98,3301.48
2024-05,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,6.71,105.72,349,9822.54
2024-05,Silver Towers,Hell's Kitchen Polygon,TRIAL,3.5,44.67,56,1931.93
2024-05,The Enclave,Hoboken Polygon,CHURN,4.13,23.88,66,2198.95
2024-05,The Enclave,Hoboken Polygon,FREEMIUM,7.8,53.41,39,1037.14
2024-05,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,3.33,44.6,10,343.2
2024-06,100 House,Hoboken Polygon,CHURN,5.64,83.8,79,2358.98
2024-06,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,2.0,24.36,10,180.7
2024-06,1 Boerum PL,Floating NY 2,CHURN,4.6,117.9,69,2379.0
2024-06,1 Boerum PL,Floating NY 2,ON_DEMAND_SUBSCRIPTION,4.4,61.45,22,700.31
2024-06,1 Boerum PL,Floating NY 2,RECURRING_SUBSCRIPTION,3.13,44.96,25,936.91
2024-06,1 Boerum PL,Floating NY 2,TRIAL,3.0,51.17,12,467.35
2024-06,330W-56th,Hell's Kitchen Polygon,CHURN,8.0,92.0,32,908.44
2024-06,330W-56th,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,8.0,92.0,24,681.33
2024-06,829 Garfield,Floating Jersey,CHURN,2.75,7.82,11,408.85
2024-06,829 Garfield,Floating Jersey,TRIAL,8.75,33.83,35,1031.29
2024-06,Azrieli TLV,Unknown,CHURN,5.38,67.42,414,12640.16
2024-06,Azrieli TLV,Unknown,TRIAL,8.0,109.59,8,272.61
2024-06,Gindi 1,Unknown,CHURN,4.51,62.04,681,22072.83
2024-06,Gindi 1,Unknown,TRIAL,3.13,56.19,50,1204.71
2024-06,Gindi 2,Unknown,CHURN,6.37,70.27,325,9118.72
2024-06,Gindi 2,Unknown,TRIAL,5.0,0.0,5,206.05
2024-06,Gindi 3,Unknown,CHURN,5.3,77.92,800,21958.04
2024-06,Gindi 3,Unknown,COLD_LEAD,2.0,0.0,4,131.3
2024-06,Gindi 3,Unknown,TRIAL,4.11,53.58,37,1161.81
2024-06,Gindi 4,Unknown,CHURN,3.58,49.14,68,2121.6
2024-06,John Street 116,Financial District Polygon,CHURN,7.22,76.86,130,3685.5
2024-06,John Street 116,Financial District Polygon,FREEMIUM,8.0,104.0,8,227.11
2024-06,John Street 116,Financial District Polygon,RECURRING_SUBSCRIPTION,5.43,68.63,38,947.44
2024-06,John Street 116,Financial District Polygon,TRIAL,6.71,33.15,47,1389.7
2024-06,John Street 116,Financial District Polygon,WARM_LEAD,4.0,0.0,4,141.7
2024-06,One Ten,Hoboken Polygon,CHURN,2.75,29.18,11,408.85
2024-06,One Ten,Hoboken Polygon,FREEMIUM,8.0,69.0,8,227.11
2024-06,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,5.0,28.76,20,636.87
2024-06,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,5.75,116.04,23,810.16
2024-06,One Ten,Hoboken Polygon,WARM_LEAD,3.0,21.0,6,154.7
