date,users,logged_in_users,login_rate_pct
2025-11-10,314,197,62.7
2025-11-11,312,187,59.9
2025-11-12,329,197,59.9
2025-11-13,307,205,66.8
2025-11-14,237,158,66.7
2025-11-15,110,69,62.7
2025-11-16,219,104,47.5
2025-11-17,271,167,61.6
2025-11-18,397,217,54.7
2025-11-19,313,186,59.4
2025-11-20,346,217,62.7
2025-11-21,193,120,62.2
2025-11-22,130,78,60.0
2025-11-23,226,127,56.2
2025-11-24,435,260,59.8
2025-11-25,491,285,58.0
2025-11-26,316,196,62.0
2025-11-27,282,196,69.5
2025-11-28,220,167,75.9
2025-11-29,155,115,74.2
2025-11-30,184,129,70.1
2025-12-01,337,221,65.6
2025-12-02,278,144,51.8
2025-12-03,297,180,60.6
2025-12-04,348,211,60.6
2025-12-05,183,135,73.8
2025-12-06,160,92,57.5
2025-12-07,232,128,55.2
2025-12-08,296,212,71.6
2025-12-09,269,176,65.4
2025-12-10,247,175,70.9
2025-12-11,253,164,64.8
2025-12-12,201,151,75.1
2025-12-13,137,98,71.5
2025-12-14,146,108,74.0
2025-12-15,224,167,74.6
2025-12-16,311,214,68.8
2025-12-17,296,223,75.3
2025-12-18,238,177,74.4
2025-12-19,158,126,79.7
2025-12-20,116,81,69.8
2025-12-21,148,108,73.0
2025-12-22,380,254,66.8
2025-12-23,362,259,71.5
2025-12-24,199,127,63.8
2025-12-25,211,141,66.8
2025-12-26,157,130,82.8
2025-12-27,111,84,75.7
2025-12-28,181,134,74.0
2025-12-29,225,175,77.8
2025-12-30,225,177,78.7
2025-12-31,204,150,73.5
2026-01-01,196,137,69.9
2026-01-02,194,157,80.9
2026-01-03,127,100,78.7
2026-01-04,196,137,69.9
2026-01-05,208,163,78.4
2026-01-06,265,189,71.3
2026-01-07,209,161,77.0
2026-01-08,233,159,68.2
2026-01-09,209,161,77.0
2026-01-10,138,93,67.4
2026-01-11,167,126,75.4
2026-01-12,290,213,73.4
2026-01-13,279,193,69.2
2026-01-14,244,181,74.2
2026-01-15,237,150,63.3
2026-01-16,231,161,69.7
2026-01-17,161,106,65.8
2026-01-18,173,114,65.9
2026-01-19,262,172,65.6
2026-01-20,306,213,69.6
2026-01-21,347,225,64.8
2026-01-22,372,211,56.7
2026-01-23,260,171,65.8
2026-01-24,161,116,72.0
2026-01-25,207,124,59.9
2026-01-26,252,175,69.4
2026-01-27,242,168,69.4
2026-01-28,282,186,66.0
2026-01-29,274,187,68.2
2026-01-30,244,167,68.4
2026-01-31,137,94,68.6
2026-02-01,189,123,65.1
2026-02-02,262,175,66.8
2026-02-03,291,203,69.8
2026-02-04,304,210,69.1
2026-02-05,249,167,67.1
2026-02-06,226,168,74.3
2026-02-07,143,104,72.7
2026-02-08,162,122,75.3
2026-02-09,265,185,69.8
2026-02-10,287,212,73.9
2026-02-11,269,184,68.4
2026-02-12,209,152,72.7
2026-02-13,173,136,78.6
2026-02-14,124,79,63.7
2026-02-15,208,146,70.2
2026-02-16,266,191,71.8
2026-02-17,255,169,66.3
2026-02-18,277,209,75.5
2026-02-19,326,243,74.5
2026-02-20,242,186,76.9
2026-02-21,176,113,64.2
2026-02-22,174,124,71.3
2026-02-23,271,197,72.7
2026-02-24,382,254,66.5
2026-02-25,291,221,75.9
2026-02-26,278,200,71.9
2026-02-27,263,195,74.1
2026-02-28,150,103,68.7
2026-03-01,174,120,69.0
2026-03-02,296,212,71.6
2026-03-03,276,183,66.3
2026-03-04,303,211,69.6
2026-03-05,283,177,62.5
2026-03-06,218,157,72.0
2026-03-07,130,99,76.2
2026-03-08,193,126,65.3
2026-03-09,278,192,69.1
2026-03-10,239,182,76.2
2026-03-11,290,213,73.4
2026-03-12,237,174,73.4
2026-03-13,186,146,78.5
2026-03-14,146,99,67.8
2026-03-15,198,135,68.2
2026-03-16,271,171,63.1
2026-03-17,265,197,74.3
2026-03-18,215,162,75.3
2026-03-19,263,195,74.1
2026-03-20,178,141,79.2
2026-03-21,135,92,68.1
2026-03-22,236,159,67.4
2026-03-23,294,210,71.4
2026-03-24,326,242,74.2
2026-03-25,311,214,68.8
2026-03-26,227,175,77.1
2026-03-27,174,135,77.6
2026-03-28,128,91,71.1
2026-03-29,183,128,69.9
2026-03-30,291,210,72.2
2026-03-31,255,196,76.9
2026-04-01,243,186,76.5
2026-04-02,201,161,80.1
2026-04-03,175,140,80.0
2026-04-04,161,107,66.5
2026-04-05,176,120,68.2
2026-04-06,266,196,73.7
2026-04-07,218,165,75.7
2026-04-08,183,143,78.1
2026-04-09,235,177,75.3
2026-04-10,205,153,74.6
2026-04-11,147,98,66.7
2026-04-12,217,134,61.8
2026-04-13,293,214,73.0
2026-04-14,349,223,63.9
2026-04-15,313,242,77.3
2026-04-16,268,188,70.1
2026-04-17,203,158,77.8
2026-04-18,109,72,66.1
2026-04-19,230,144,62.6
2026-04-20,273,207,75.8
2026-04-21,266,209,78.6
2026-04-22,216,165,76.4
2026-04-23,335,259,77.3
2026-04-24,367,275,74.9
2026-04-25,172,130,75.6
2026-04-26,214,149,69.6
2026-04-27,472,384,81.4
2026-04-28,348,249,71.6
2026-04-29,239,189,79.1
2026-04-30,273,214,78.4
2026-05-01,243,185,76.1
2026-05-02,146,103,70.5
2026-05-03,215,159,74.0
2026-05-04,317,223,70.3
2026-05-05,239,191,79.9
2026-05-06,312,246,78.8
2026-05-07,275,210,76.4
2026-05-08,298,236,79.2
2026-05-09,193,139,72.0
2026-05-10,209,147,70.3
2026-05-11,308,230,74.7
2026-05-12,239,195,81.6
2026-05-13,213,177,83.1
2026-05-14,240,183,76.2
2026-05-15,223,182,81.6
2026-05-16,142,111,78.2
2026-05-17,165,130,78.8
2026-05-18,51,38,74.5
