visit_month,project,neighbourhood,apt_status,finished_completed,finished,completed,pending,cancelled,net_revenue,avg_duration_mins
2023-09,Gindi 3,Unknown,RECURRING_SUBSCRIPTION,5,3,2,0,1,333.66,
2023-09,Gindi 3,Unknown,TRIAL,2,1,1,0,0,189.59,
2023-09,Gindi 4,Unknown,CHURN,6,3,3,0,3,237.81,
2023-09,One Ten,Hoboken Polygon,CHURN,3,3,0,0,0,148.0,
2023-09,One Ten,Hoboken Polygon,FREEMIUM,3,3,0,0,3,147.25,
2023-09,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,0,0,0,0,1,,
2023-09,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,3,3,0,0,0,271.25,
2023-09,The Enclave,Hoboken Polygon,CHURN,1,0,1,0,0,100.0,
2023-09,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,1,0,1,0,0,50.0,
2023-10,100 House,Hoboken Polygon,CHURN,3,2,1,0,0,329.8,
2023-10,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,4,2,2,0,1,185.8,
2023-10,829 Garfield,Floating Jersey,CHURN,20,12,8,0,1,1796.0,
2023-10,829 Garfield,Floating Jersey,TRIAL,2,1,1,0,0,146.0,
2023-10,Azrieli TLV,Unknown,CHURN,44,38,6,0,21,2403.84,
2023-10,Azrieli TLV,Unknown,TRIAL,1,1,0,0,0,87.4,
2023-10,Gindi 1,Unknown,CHURN,49,42,7,0,35,2285.36,
2023-10,Gindi 1,Unknown,FROZEN,3,3,0,0,1,114.52,
2023-10,Gindi 1,Unknown,ON_DEMAND_SUBSCRIPTION,12,10,2,0,0,864.84,
2023-10,Gindi 1,Unknown,RECURRING_SUBSCRIPTION,12,10,2,0,6,797.81,
2023-10,Gindi 1,Unknown,TRIAL,2,1,1,0,0,215.62,
2023-10,Gindi 2,Unknown,CHURN,25,22,3,0,17,1568.72,
2023-10,Gindi 2,Unknown,ON_DEMAND_SUBSCRIPTION,9,6,3,0,2,641.39,
2023-10,Gindi 2,Unknown,RECURRING_SUBSCRIPTION,2,2,0,0,0,87.67,
2023-10,Gindi 2,Unknown,TRIAL,5,5,0,0,11,302.19,
2023-10,Gindi 3,Unknown,CHURN,33,30,3,0,13,2356.08,
2023-10,Gindi 3,Unknown,ON_DEMAND_SUBSCRIPTION,14,13,1,0,5,990.94,
2023-10,Gindi 3,Unknown,RECURRING_SUBSCRIPTION,4,3,1,0,3,286.58,
2023-10,Gindi 3,Unknown,TRIAL,5,3,2,0,0,231.58,
2023-10,Gindi 4,Unknown,CHURN,10,9,1,0,1,207.4,
2023-10,One Ten,Hoboken Polygon,CHURN,9,7,2,0,0,410.0,
2023-10,One Ten,Hoboken Polygon,FREEMIUM,6,2,4,0,11,416.0,
2023-10,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,1,1,0,0,2,90.0,
2023-10,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,2,2,0,0,1,171.25,
2023-10,The Enclave,Hoboken Polygon,CHURN,7,4,3,0,0,610.0,
2023-10,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,1,1,0,0,0,50.0,
2023-11,100 House,Hoboken Polygon,CHURN,4,2,2,0,0,477.8,
2023-11,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,5,4,1,0,0,200.8,
2023-11,829 Garfield,Floating Jersey,CHURN,20,17,3,0,2,1926.0,
2023-11,829 Garfield,Floating Jersey,TRIAL,0,0,0,0,2,,
2023-11,Azrieli TLV,Unknown,CHURN,47,47,0,0,25,2650.0,
2023-11,Azrieli TLV,Unknown,ON_DEMAND_SUBSCRIPTION,1,0,1,0,0,0.0,
2023-11,Azrieli TLV,Unknown,TRIAL,3,3,0,0,0,143.29,
2023-11,Gindi 1,Unknown,CHURN,68,58,10,0,24,3834.35,
2023-11,Gindi 1,Unknown,FROZEN,3,3,0,0,0,114.52,
2023-11,Gindi 1,Unknown,ON_DEMAND_SUBSCRIPTION,17,16,1,0,0,1203.14,
2023-11,Gindi 1,Unknown,RECURRING_SUBSCRIPTION,11,9,2,0,1,881.37,
2023-11,Gindi 1,Unknown,TRIAL,1,0,1,0,2,141.92,
2023-11,Gindi 2,Unknown,CHURN,18,18,0,0,11,1096.41,
2023-11,Gindi 2,Unknown,ON_DEMAND_SUBSCRIPTION,8,7,1,0,2,427.67,
2023-11,Gindi 2,Unknown,RECURRING_SUBSCRIPTION,6,5,1,0,1,253.28,
2023-11,Gindi 2,Unknown,TRIAL,6,6,0,0,4,407.12,
2023-11,Gindi 3,Unknown,CHURN,66,63,3,0,18,3974.92,
2023-11,Gindi 3,Unknown,ON_DEMAND_SUBSCRIPTION,7,7,0,0,1,343.29,
2023-11,Gindi 3,Unknown,RECURRING_SUBSCRIPTION,8,5,3,0,1,793.7,
2023-11,Gindi 3,Unknown,TRIAL,2,1,1,0,0,133.97,
2023-11,Gindi 4,Unknown,CHURN,12,11,1,0,5,266.85,
2023-11,One Ten,Hoboken Polygon,CHURN,6,5,1,0,5,305.0,
2023-11,One Ten,Hoboken Polygon,FREEMIUM,1,1,0,0,6,26.0,
2023-11,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,1,1,0,0,0,90.0,
2023-11,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,5,2,3,0,0,519.25,
2023-11,The Enclave,Hoboken Polygon,CHURN,11,5,6,0,0,1068.0,
2023-11,The Enclave,Hoboken Polygon,FREEMIUM,1,1,0,0,0,148.0,
2023-11,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,2,1,1,0,1,100.0,
2023-12,100 House,Hoboken Polygon,CHURN,5,2,3,0,0,546.8,
2023-12,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,5,5,0,0,1,200.8,
2023-12,829 Garfield,Floating Jersey,CHURN,15,12,3,0,7,1442.0,
2023-12,829 Garfield,Floating Jersey,TRIAL,1,0,1,0,3,92.0,
2023-12,Azrieli TLV,Unknown,CHURN,59,53,6,0,17,2955.43,
2023-12,Azrieli TLV,Unknown,ON_DEMAND_SUBSCRIPTION,1,0,1,0,0,16.16,
2023-12,Gindi 1,Unknown,CHURN,84,69,15,0,32,4846.96,
2023-12,Gindi 1,Unknown,FROZEN,2,2,0,0,1,114.52,
2023-12,Gindi 1,Unknown,ON_DEMAND_SUBSCRIPTION,10,9,1,0,13,955.33,
2023-12,Gindi 1,Unknown,RECURRING_SUBSCRIPTION,8,6,2,0,5,572.6,
2023-12,Gindi 1,Unknown,TRIAL,4,4,0,0,2,386.3,
2023-12,Gindi 2,Unknown,CHURN,26,26,0,0,5,1675.75,
2023-12,Gindi 2,Unknown,ON_DEMAND_SUBSCRIPTION,4,2,2,0,3,243.01,
2023-12,Gindi 2,Unknown,RECURRING_SUBSCRIPTION,6,6,0,0,0,409.59,
2023-12,Gindi 3,Unknown,CHURN,93,87,6,0,13,5950.45,
2023-12,Gindi 3,Unknown,ON_DEMAND_SUBSCRIPTION,8,8,0,0,5,419.45,
2023-12,Gindi 3,Unknown,RECURRING_SUBSCRIPTION,13,9,4,0,4,1322.74,
2023-12,Gindi 3,Unknown,TRIAL,5,5,0,0,1,439.45,
2023-12,Gindi 4,Unknown,CHURN,11,10,1,0,1,287.67,
2023-12,One Ten,Hoboken Polygon,CHURN,6,6,0,0,5,305.0,
2023-12,One Ten,Hoboken Polygon,FREEMIUM,2,2,0,0,5,94.0,
2023-12,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,2,2,0,0,0,180.0,
2023-12,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,3,2,1,0,2,271.25,
2023-12,Silver Towers,Hell's Kitchen Polygon,CHURN,6,4,2,0,13,341.5,
2023-12,Silver Towers,Hell's Kitchen Polygon,FREEMIUM,2,2,0,0,2,161.0,
2023-12,Silver Towers,Hell's Kitchen Polygon,FROZEN,1,1,0,0,0,92.0,
2023-12,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,6,3,3,0,7,309.0,
2023-12,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,11,6,5,0,31,1252.0,
2023-12,Silver Towers,Hell's Kitchen Polygon,TRIAL,5,2,3,0,2,308.0,
2023-12,The Enclave,Hoboken Polygon,CHURN,6,4,2,0,3,576.0,
2023-12,The Enclave,Hoboken Polygon,FREEMIUM,0,0,0,0,1,,
2023-12,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,2,2,0,0,0,100.0,
2024-01,100 House,Hoboken Polygon,CHURN,9,6,3,0,15,910.0,
2024-01,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,0,0,0,0,6,,
2024-01,829 Garfield,Floating Jersey,CHURN,10,9,1,0,15,981.0,
2024-01,829 Garfield,Floating Jersey,TRIAL,1,1,0,0,2,104.0,
2024-01,Azrieli TLV,Unknown,CHURN,60,51,9,0,21,3374.91,
2024-01,Azrieli TLV,Unknown,ON_DEMAND_SUBSCRIPTION,3,3,0,0,0,109.59,
2024-01,Azrieli TLV,Unknown,TRIAL,2,2,0,0,0,86.58,
2024-01,Gindi 1,Unknown,CHURN,95,80,15,0,29,5734.8,
2024-01,Gindi 1,Unknown,COLD_LEAD,0,0,0,0,2,,
2024-01,Gindi 1,Unknown,FROZEN,2,2,0,0,2,57.26,
2024-01,Gindi 1,Unknown,ON_DEMAND_SUBSCRIPTION,7,6,1,0,16,664.93,
2024-01,Gindi 1,Unknown,RECURRING_SUBSCRIPTION,18,15,3,0,2,1278.9,
2024-01,Gindi 1,Unknown,TRIAL,5,3,2,0,6,230.45,
2024-01,Gindi 2,Unknown,CHURN,23,19,4,0,10,1425.84,
2024-01,Gindi 2,Unknown,ON_DEMAND_SUBSCRIPTION,7,3,4,0,0,336.9,
2024-01,Gindi 2,Unknown,RECURRING_SUBSCRIPTION,6,5,1,0,4,413.15,
2024-01,Gindi 2,Unknown,TRIAL,1,0,1,0,0,87.63,
2024-01,Gindi 3,Unknown,CHURN,106,97,9,0,10,6725.48,
2024-01,Gindi 3,Unknown,FROZEN,1,1,0,0,0,43.84,
2024-01,Gindi 3,Unknown,ON_DEMAND_SUBSCRIPTION,11,7,4,0,4,597.53,
2024-01,Gindi 3,Unknown,RECURRING_SUBSCRIPTION,15,6,9,0,1,1594.79,
2024-01,Gindi 3,Unknown,TRIAL,24,23,1,0,7,1994.52,
2024-01,Gindi 4,Unknown,CHURN,11,6,5,0,0,344.93,
2024-01,Gindi 4,Unknown,RECURRING_SUBSCRIPTION,2,1,1,0,0,71.68,
2024-01,One Ten,Hoboken Polygon,CHURN,4,4,0,0,8,179.0,
2024-01,One Ten,Hoboken Polygon,FREEMIUM,2,1,1,0,5,161.0,
2024-01,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,1,1,0,0,1,68.0,
2024-01,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,2,1,1,0,1,248.0,
2024-01,River Place,Hell's Kitchen Polygon,CHURN,4,0,4,0,2,331.0,
2024-01,River Place,Hell's Kitchen Polygon,FREEMIUM,1,0,1,0,1,0.0,
2024-01,River Place,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,2,0,2,0,0,60.0,
2024-01,River Place,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,6,3,3,0,24,422.0,
2024-01,River Place,Hell's Kitchen Polygon,TRIAL,4,2,2,0,0,167.0,
2024-01,River Place,Hell's Kitchen Polygon,WARM_LEAD,1,0,1,0,1,47.0,
2024-01,Silver Towers,Hell's Kitchen Polygon,CHURN,27,23,4,0,29,1827.0,
2024-01,Silver Towers,Hell's Kitchen Polygon,FREEMIUM,2,2,0,0,7,180.0,
2024-01,Silver Towers,Hell's Kitchen Polygon,FROZEN,1,0,1,0,0,92.0,
2024-01,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,15,12,3,0,11,931.75,
2024-01,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,27,19,8,0,19,2920.0,
2024-01,Silver Towers,Hell's Kitchen Polygon,TRIAL,7,5,2,0,11,338.0,
2024-01,The Enclave,Hoboken Polygon,CHURN,8,4,4,0,3,690.0,
2024-01,The Enclave,Hoboken Polygon,FREEMIUM,1,1,0,0,1,148.0,
2024-01,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,3,3,0,0,0,150.0,
2024-02,100 House,Hoboken Polygon,CHURN,9,7,2,0,4,923.0,
2024-02,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,0,0,0,0,1,,
2024-02,829 Garfield,Floating Jersey,CHURN,5,4,1,0,12,451.0,
2024-02,829 Garfield,Floating Jersey,TRIAL,0,0,0,0,2,,
2024-02,Azrieli TLV,Unknown,CHURN,56,52,4,0,10,3163.79,
2024-02,Azrieli TLV,Unknown,ON_DEMAND_SUBSCRIPTION,5,4,1,0,4,396.44,
2024-02,Azrieli TLV,Unknown,TRIAL,0,0,0,0,1,,
2024-02,Gindi 1,Unknown,CHURN,82,72,10,0,16,5073.64,
2024-02,Gindi 1,Unknown,FROZEN,1,1,0,0,2,0.0,
2024-02,Gindi 1,Unknown,ON_DEMAND_SUBSCRIPTION,3,3,0,0,3,386.85,
2024-02,Gindi 1,Unknown,RECURRING_SUBSCRIPTION,12,8,4,0,7,1121.92,
2024-02,Gindi 1,Unknown,TRIAL,2,2,0,0,2,69.59,
2024-02,Gindi 2,Unknown,CHURN,17,16,1,0,5,1174.79,
2024-02,Gindi 2,Unknown,ON_DEMAND_SUBSCRIPTION,4,1,3,0,0,258.63,
2024-02,Gindi 2,Unknown,RECURRING_SUBSCRIPTION,5,5,0,0,2,267.95,
2024-02,Gindi 3,Unknown,CHURN,104,96,8,0,17,6305.48,
2024-02,Gindi 3,Unknown,COLD_LEAD,0,0,0,0,1,,
2024-02,Gindi 3,Unknown,FROZEN,1,1,0,0,1,128.22,
2024-02,Gindi 3,Unknown,ON_DEMAND_SUBSCRIPTION,12,11,1,0,4,861.37,
2024-02,Gindi 3,Unknown,RECURRING_SUBSCRIPTION,9,4,5,0,5,985.75,
2024-02,Gindi 3,Unknown,TRIAL,2,1,1,0,18,151.78,
2024-02,Gindi 4,Unknown,CHURN,10,3,7,0,1,262.47,
2024-02,Gindi 4,Unknown,RECURRING_SUBSCRIPTION,1,0,1,0,0,133.97,
2024-02,One Ten,Hoboken Polygon,CHURN,3,2,1,0,5,123.0,
2024-02,One Ten,Hoboken Polygon,FREEMIUM,2,1,1,0,3,161.0,
2024-02,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,1,1,0,0,1,68.0,
2024-02,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,4,3,1,0,2,459.25,
2024-02,River Place,Hell's Kitchen Polygon,CHURN,13,4,9,0,6,938.0,
2024-02,River Place,Hell's Kitchen Polygon,FREEMIUM,6,3,3,0,18,418.0,
2024-02,River Place,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,2,2,0,0,3,68.0,
2024-02,River Place,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,11,4,7,0,26,875.0,
2024-02,River Place,Hell's Kitchen Polygon,TRIAL,5,4,1,0,1,253.0,
2024-02,Silver Towers,Hell's Kitchen Polygon,CHURN,29,23,6,0,11,1960.0,
2024-02,Silver Towers,Hell's Kitchen Polygon,FREEMIUM,3,2,1,0,11,125.0,
2024-02,Silver Towers,Hell's Kitchen Polygon,FROZEN,0,0,0,0,1,,
2024-02,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,13,10,3,0,2,704.0,
2024-02,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,32,22,10,0,14,3011.0,
2024-02,Silver Towers,Hell's Kitchen Polygon,TRIAL,4,2,2,0,11,262.0,
2024-02,The Enclave,Hoboken Polygon,CHURN,7,5,2,0,5,596.0,
2024-02,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,2,1,1,0,0,100.0,
2024-03,100 House,Hoboken Polygon,CHURN,7,6,1,0,3,701.0,143.0
2024-03,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,2,1,1,0,2,46.0,56.0
2024-03,829 Garfield,Floating Jersey,CHURN,5,5,0,0,8,508.0,130.0
2024-03,Azrieli TLV,Unknown,CHURN,51,51,0,0,13,2794.75,105.0
2024-03,Azrieli TLV,Unknown,COLD_LEAD,0,0,0,0,2,,
2024-03,Azrieli TLV,Unknown,ON_DEMAND_SUBSCRIPTION,8,7,1,0,3,639.73,102.0
2024-03,Azrieli TLV,Unknown,TRIAL,2,2,0,0,3,277.81,248.0
2024-03,Gindi 1,Unknown,CHURN,94,85,9,0,24,5205.36,125.0
2024-03,Gindi 1,Unknown,FROZEN,1,1,0,0,2,67.12,155.0
2024-03,Gindi 1,Unknown,ON_DEMAND_SUBSCRIPTION,8,8,0,0,4,561.1,
2024-03,Gindi 1,Unknown,RECURRING_SUBSCRIPTION,17,14,3,0,3,1076.16,110.0
2024-03,Gindi 1,Unknown,TRIAL,3,3,0,0,0,225.48,30.0
2024-03,Gindi 2,Unknown,CHURN,26,21,5,0,3,1521.23,111.0
2024-03,Gindi 2,Unknown,COLD_LEAD,1,1,0,0,1,0.0,
2024-03,Gindi 2,Unknown,ON_DEMAND_SUBSCRIPTION,10,7,3,0,4,671.78,139.0
2024-03,Gindi 2,Unknown,RECURRING_SUBSCRIPTION,8,8,0,0,2,486.85,85.0
2024-03,Gindi 2,Unknown,TRIAL,2,2,0,0,0,97.26,
2024-03,Gindi 3,Unknown,CHURN,127,122,5,0,26,8648.88,115.0
2024-03,Gindi 3,Unknown,FROZEN,0,0,0,0,1,,
2024-03,Gindi 3,Unknown,ON_DEMAND_SUBSCRIPTION,16,14,2,0,4,826.85,149.0
2024-03,Gindi 3,Unknown,RECURRING_SUBSCRIPTION,14,11,3,0,0,1466.58,132.0
2024-03,Gindi 3,Unknown,TRIAL,3,1,2,0,4,163.29,133.0
2024-03,Gindi 4,Unknown,CHURN,13,10,3,0,4,452.05,90.0
2024-03,Gindi 4,Unknown,RECURRING_SUBSCRIPTION,1,1,0,0,1,71.68,
2024-03,John Street 116,Financial District Polygon,CHURN,2,0,2,0,1,216.0,131.0
2024-03,John Street 116,Financial District Polygon,RECURRING_SUBSCRIPTION,2,2,0,0,6,146.0,136.0
2024-03,John Street 116,Financial District Polygon,TRIAL,7,4,3,0,1,501.0,101.0
2024-03,One Ten,Hoboken Polygon,CHURN,5,3,2,0,3,233.0,66.0
2024-03,One Ten,Hoboken Polygon,FREEMIUM,1,0,1,0,3,69.0,122.0
2024-03,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,1,0,1,0,1,63.0,123.0
2024-03,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,4,4,0,0,0,459.25,137.0
2024-03,River Place,Hell's Kitchen Polygon,CHURN,14,7,7,0,16,989.0,75.0
2024-03,River Place,Hell's Kitchen Polygon,FREEMIUM,1,1,0,0,24,0.0,68.0
2024-03,River Place,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,11,6,5,0,3,307.0,54.0
2024-03,River Place,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,16,12,4,0,2,1015.0,61.0
2024-03,River Place,Hell's Kitchen Polygon,TRIAL,2,2,0,0,2,92.0,64.0
2024-03,Silver Towers,Hell's Kitchen Polygon,CHURN,25,20,5,0,16,1645.0,85.0
2024-03,Silver Towers,Hell's Kitchen Polygon,FREEMIUM,3,2,1,0,3,69.0,79.0
2024-03,Silver Towers,Hell's Kitchen Polygon,FROZEN,2,1,1,0,1,140.0,90.0
2024-03,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,14,8,6,0,9,895.0,75.0
2024-03,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,28,25,3,0,14,2773.0,91.0
2024-03,Silver Towers,Hell's Kitchen Polygon,TRIAL,7,5,2,0,5,194.0,73.0
2024-03,The Enclave,Hoboken Polygon,CHURN,10,8,2,0,4,851.0,121.0
2024-03,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,2,2,0,0,0,100.0,74.0
2024-04,100 House,Hoboken Polygon,CHURN,8,7,1,0,3,777.0,114.0
2024-04,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,5,0,5,0,3,176.0,83.0
2024-04,1 Boerum PL,Floating NY 2,CHURN,0,0,0,0,2,,
2024-04,330W-56th,Hell's Kitchen Polygon,CHURN,2,1,1,0,0,184.0,87.0
2024-04,330W-56th,Hell's Kitchen Polygon,FREEMIUM,4,3,1,0,1,95.0,69.0
2024-04,330W-56th,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,2,1,1,0,0,92.0,116.0
2024-04,330W-56th,Hell's Kitchen Polygon,WARM_LEAD,1,1,0,0,0,0.0,68.0
2024-04,829 Garfield,Floating Jersey,CHURN,5,5,0,0,5,370.0,88.0
2024-04,829 Garfield,Floating Jersey,TRIAL,1,1,0,0,0,237.0,
2024-04,Azrieli TLV,Unknown,CHURN,50,50,0,0,12,2905.16,98.0
2024-04,Azrieli TLV,Unknown,ON_DEMAND_SUBSCRIPTION,6,6,0,0,3,623.56,101.0
2024-04,Azrieli TLV,Unknown,TRIAL,1,0,1,0,4,106.85,
2024-04,Gindi 1,Unknown,CHURN,76,69,7,0,40,4612.39,120.0
2024-04,Gindi 1,Unknown,COLD_LEAD,0,0,0,0,2,,
2024-04,Gindi 1,Unknown,FROZEN,1,1,0,0,0,57.26,
2024-04,Gindi 1,Unknown,ON_DEMAND_SUBSCRIPTION,11,11,0,0,5,473.87,102.0
2024-04,Gindi 1,Unknown,RECURRING_SUBSCRIPTION,12,11,1,0,11,1021.92,158.0
2024-04,Gindi 1,Unknown,TRIAL,2,2,0,0,0,69.59,45.0
2024-04,Gindi 2,Unknown,CHURN,24,22,2,0,20,1662.05,147.0
2024-04,Gindi 2,Unknown,COLD_LEAD,0,0,0,0,1,,
2024-04,Gindi 2,Unknown,ON_DEMAND_SUBSCRIPTION,7,6,1,0,9,676.44,155.0
2024-04,Gindi 2,Unknown,RECURRING_SUBSCRIPTION,13,11,2,0,4,770.17,127.0
2024-04,Gindi 2,Unknown,TRIAL,1,1,0,0,1,80.82,145.0
2024-04,Gindi 3,Unknown,CHURN,92,90,2,0,64,5092.45,140.0
2024-04,Gindi 3,Unknown,ON_DEMAND_SUBSCRIPTION,34,33,1,0,10,1253.42,87.0
2024-04,Gindi 3,Unknown,RECURRING_SUBSCRIPTION,19,19,0,0,4,1942.47,161.0
2024-04,Gindi 3,Unknown,TRIAL,3,1,2,0,2,59.73,56.0
2024-04,Gindi 4,Unknown,CHURN,11,7,4,0,2,435.89,93.0
