review_month,project,neighbourhood,apt_status,count,avg_rating,reviews
2024-06,Silver Towers,Hell's Kitchen Polygon,WARM_LEAD,1,,0
2024-06,The Enclave,Hoboken Polygon,CHURN,7,5.0,1
2024-06,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,3,,0
2024-06,The Ivy,Chatham / West Orange Polygon,CHURN,6,5.0,0
2024-06,The Ivy,Chatham / West Orange Polygon,RECURRING_SUBSCRIPTION,3,5.0,1
2024-06,The Ivy,Chatham / West Orange Polygon,TRIAL,2,,0
2024-07,100 House,Hoboken Polygon,CHURN,9,4.0,0
2024-07,100 House,Hoboken Polygon,FREEMIUM,1,,0
2024-07,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,4,5.0,0
2024-07,100 House,Hoboken Polygon,RECURRING_SUBSCRIPTION,1,5.0,1
2024-07,1 Boerum PL,Floating NY 2,CHURN,9,,0
2024-07,1 Boerum PL,Floating NY 2,ON_DEMAND_SUBSCRIPTION,3,5.0,0
2024-07,1 Boerum PL,Floating NY 2,RECURRING_SUBSCRIPTION,6,,0
2024-07,1 Boerum PL,Floating NY 2,TRIAL,5,,0
2024-07,1 Boerum PL,Floating NY 2,WARM_LEAD,1,5.0,1
2024-07,330W-56th,Hell's Kitchen Polygon,CHURN,4,3.0,1
2024-07,330W-56th,Hell's Kitchen Polygon,FREEMIUM,1,,0
2024-07,330W-56th,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,4,,0
2024-07,Azrieli TLV,Unknown,CHURN,72,5.0,0
2024-07,Gindi 1,Unknown,CHURN,24,5.0,0
2024-07,Gindi 2,Unknown,CHURN,22,5.0,2
2024-07,Gindi 2,Unknown,TRIAL,1,,0
2024-07,Gindi 3,Unknown,CHURN,63,4.57,2
2024-07,Gindi 3,Unknown,TRIAL,1,,0
2024-07,Gindi 4,Unknown,CHURN,12,5.0,0
2024-07,John Street 116,Financial District Polygon,CHURN,14,5.0,2
2024-07,John Street 116,Financial District Polygon,FREEMIUM,1,,0
2024-07,John Street 116,Financial District Polygon,RECURRING_SUBSCRIPTION,5,,0
2024-07,John Street 116,Financial District Polygon,TRIAL,2,5.0,0
2024-07,One Ten,Hoboken Polygon,CHURN,6,5.0,0
2024-07,One Ten,Hoboken Polygon,FREEMIUM,1,5.0,1
2024-07,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,2,,0
2024-07,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,5,5.0,0
2024-07,One Ten,Hoboken Polygon,WARM_LEAD,1,,0
2024-07,River Place,Hell's Kitchen Polygon,CHURN,46,4.86,1
2024-07,River Place,Hell's Kitchen Polygon,FREEMIUM,1,,0
2024-07,River Place,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,19,5.0,0
2024-07,River Place,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,18,5.0,2
2024-07,River Place,Hell's Kitchen Polygon,TRIAL,6,,0
2024-07,River Place,Hell's Kitchen Polygon,WARM_LEAD,1,5.0,0
2024-07,Silver Towers,Hell's Kitchen Polygon,CHURN,40,4.8,0
2024-07,Silver Towers,Hell's Kitchen Polygon,FREEMIUM,2,,0
2024-07,Silver Towers,Hell's Kitchen Polygon,FROZEN,2,5.0,0
2024-07,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,25,5.0,4
2024-07,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,55,4.88,0
2024-07,Silver Towers,Hell's Kitchen Polygon,TRIAL,9,4.67,1
2024-07,The Enclave,Hoboken Polygon,CHURN,11,5.0,2
2024-07,The Enclave,Hoboken Polygon,FREEMIUM,4,4.5,1
2024-07,The Enclave,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,1,,0
2024-07,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,4,5.0,0
2024-07,The Ivy,Chatham / West Orange Polygon,CHURN,18,4.67,1
2024-07,The Ivy,Chatham / West Orange Polygon,ON_DEMAND_SUBSCRIPTION,2,5.0,1
2024-07,The Ivy,Chatham / West Orange Polygon,RECURRING_SUBSCRIPTION,5,,0
2024-07,The Ivy,Chatham / West Orange Polygon,TRIAL,1,,0
2024-07,The Ivy,Chatham / West Orange Polygon,WARM_LEAD,2,5.0,0
2024-08,100 House,Hoboken Polygon,CHURN,8,,0
2024-08,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,4,5.0,0
2024-08,100 House,Hoboken Polygon,RECURRING_SUBSCRIPTION,5,5.0,0
2024-08,1 Boerum PL,Floating NY 2,CHURN,4,5.0,1
2024-08,1 Boerum PL,Floating NY 2,ON_DEMAND_SUBSCRIPTION,2,5.0,1
2024-08,1 Boerum PL,Floating NY 2,RECURRING_SUBSCRIPTION,6,5.0,1
2024-08,1 Boerum PL,Floating NY 2,TRIAL,1,,0
2024-08,1 Boerum PL,Floating NY 2,WARM_LEAD,4,,0
2024-08,300 Somerset,Harrison Polygon,CHURN,1,5.0,1
2024-08,300 Somerset,Harrison Polygon,TRIAL,1,4.0,0
2024-08,330 Angelo Cifelli,Harrison Polygon,RECURRING_SUBSCRIPTION,1,5.0,1
2024-08,330W-56th,Hell's Kitchen Polygon,CHURN,5,5.0,2
2024-08,330W-56th,Hell's Kitchen Polygon,FREEMIUM,1,5.0,0
2024-08,330W-56th,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,3,5.0,1
2024-08,Azrieli TLV,Unknown,CHURN,70,5.0,0
2024-08,Azrieli TLV,Unknown,TRIAL,4,,0
2024-08,Gindi 1,Unknown,CHURN,32,5.0,3
2024-08,Gindi 2,Unknown,CHURN,13,5.0,0
2024-08,Gindi 2,Unknown,TRIAL,2,,0
2024-08,Gindi 3,Unknown,CHURN,55,5.0,0
2024-08,Gindi 4,Unknown,CHURN,3,5.0,0
2024-08,John Street 116,Financial District Polygon,CHURN,20,5.0,0
2024-08,John Street 116,Financial District Polygon,RECURRING_SUBSCRIPTION,4,,0
2024-08,John Street 116,Financial District Polygon,TRIAL,2,,0
2024-08,One Ten,Hoboken Polygon,CHURN,5,5.0,0
2024-08,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,2,,0
2024-08,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,6,,0
2024-08,River Place,Hell's Kitchen Polygon,CHURN,30,4.75,0
2024-08,River Place,Hell's Kitchen Polygon,FREEMIUM,1,,0
2024-08,River Place,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,29,5.0,0
2024-08,River Place,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,19,5.0,1
2024-08,River Place,Hell's Kitchen Polygon,TRIAL,5,3.0,1
2024-08,River Place,Hell's Kitchen Polygon,WARM_LEAD,1,,0
2024-08,Silver Towers,Hell's Kitchen Polygon,CHURN,49,5.0,1
2024-08,Silver Towers,Hell's Kitchen Polygon,FROZEN,2,5.0,0
2024-08,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,23,5.0,2
2024-08,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,63,5.0,2
2024-08,Silver Towers,Hell's Kitchen Polygon,TRIAL,4,5.0,0
2024-08,The Enclave,Hoboken Polygon,CHURN,13,3.0,1
2024-08,The Enclave,Hoboken Polygon,FREEMIUM,1,,0
2024-08,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,3,2.0,0
2024-08,The Enclave,Hoboken Polygon,TRIAL,1,,0
2024-08,The Ivy,Chatham / West Orange Polygon,CHURN,17,,0
2024-08,The Ivy,Chatham / West Orange Polygon,ON_DEMAND_SUBSCRIPTION,3,5.0,1
